Category,Rule,Description,Priority,Severity,Keywords
Core Web Vitals,INP < 200ms,Interaction to Next Paint should be under 200ms for good user experience,high,critical,"inp interaction latency performance responsiveness web vitals 2024"
Core Web Vitals,LCP < 2.5s,Largest Contentful Paint should occur within 2.5 seconds of page load,high,critical,"lcp loading performance paint render speed web vitals"
Core Web Vitals,CLS < 0.1,Cumulative Layout Shift should be less than 0.1 to prevent layout instability,high,critical,"cls layout shift stability visual web vitals"
Core Web Vitals,FCP < 1.8s,First Contentful Paint should be under 1.8 seconds,medium,major,"fcp paint render loading performance speed"
Core Web Vitals,TTFB < 800ms,Time to First Byte should be under 800ms for fast server response,medium,major,"ttfb server response latency hosting cdn"
Crawlability,robots.txt accessible,robots.txt file must be accessible at root domain,high,critical,"robots txt crawl access googlebot spider"
Crawlability,No disallow important pages,robots.txt should not block important pages from crawling,high,critical,"robots disallow block crawl access"
Crawlability,XML sitemap exists,XML sitemap should exist and be submitted to search engines,high,major,"sitemap xml urls index submission google"
Crawlability,Sitemap in robots.txt,Sitemap URL should be declared in robots.txt,medium,major,"sitemap robots txt declaration"
Crawlability,Clean URL structure,URLs should be clean semantic and hierarchical,medium,major,"url structure seo friendly slug clean"
Indexability,Canonical tags correct,Canonical tags should point to the preferred version of pages,high,critical,"canonical duplicate content preferred url"
Indexability,No meta noindex on important pages,Important pages should not have meta noindex tags,high,critical,"noindex index robots meta tag"
Indexability,HTTPS enforced,All pages should use HTTPS with proper redirects from HTTP,high,critical,"https ssl security certificate redirect"
Indexability,Mobile-friendly,Pages must be mobile-friendly and responsive,high,critical,"mobile responsive viewport touch friendly"
Indexability,No orphan pages,All important pages should be linked from somewhere,medium,major,"orphan link internal navigation sitemap"
Meta Tags,Title tag 50-60 characters,Page title should be 50-60 characters for optimal display,high,major,"title tag length characters serp snippet"
Meta Tags,Meta description 150-160 characters,Meta description should be 150-160 characters,high,major,"description meta length characters snippet ctr"
Meta Tags,Unique titles per page,Each page should have a unique title tag,high,critical,"title unique duplicate pages seo"
Meta Tags,Unique descriptions per page,Each page should have a unique meta description,medium,major,"description unique duplicate pages meta"
Meta Tags,Title includes target keyword,Page title should include primary target keyword,high,major,"title keyword target optimization relevance"
Structured Data,Schema.org markup,Use schema.org structured data markup,high,major,"schema markup structured data rich snippets json-ld"
Structured Data,Valid JSON-LD,Structured data should use valid JSON-LD format,high,major,"json-ld validate schema format syntax"
Structured Data,Test with Rich Results,Use Google Rich Results Test to validate markup,medium,major,"rich results test validation google snippet"
Structured Data,Avoid deprecated schemas,Do not use deprecated schema types like HowTo FAQ restrictions,medium,major,"deprecated schema howto faq obsolete"
Structured Data,Organization schema,Include Organization schema on homepage,medium,major,"organization schema business company brand"
Images,Alt text on all images,All images should have descriptive alt text,high,major,"alt text image accessibility description seo"
Images,Optimized file sizes,Images should be compressed and optimized,high,major,"image optimization compression size webp"
Images,WebP format,Use modern image formats like WebP for better compression,medium,major,"webp image format compression modern"
Images,Lazy loading,Implement lazy loading for below-fold images,medium,major,"lazy loading images performance optimization"
Images,Responsive images,Use srcset for responsive images,medium,major,"srcset responsive images mobile desktop"
Internal Linking,Logical link structure,Internal links should follow a logical hierarchy,high,major,"internal linking structure hierarchy navigation"
Internal Linking,Anchor text descriptive,Use descriptive anchor text for internal links,medium,major,"anchor text internal link descriptive keyword"
Internal Linking,No broken links,Fix all broken internal links (404 errors),high,critical,"broken link 404 error fix redirect"
Internal Linking,Link to important pages,Important pages should receive internal links,medium,major,"internal link authority pagerank distribution"
Internal Linking,Breadcrumbs markup,Implement breadcrumb navigation with schema markup,low,minor,"breadcrumb navigation schema markup hierarchy"
Mobile SEO,Viewport meta tag,Include proper viewport meta tag,high,critical,"viewport meta tag mobile responsive"
Mobile SEO,Touch-friendly elements,Buttons and links should be touch-friendly (min 48x48px),medium,major,"touch friendly tap target mobile ux"
Mobile SEO,No mobile popup interstitials,Avoid intrusive mobile popups,medium,major,"popup interstitial mobile penalty google"
Mobile SEO,Mobile page speed,Mobile page speed should be optimized,high,critical,"mobile speed performance optimization loading"
Mobile SEO,Mobile-first indexing ready,Site should be ready for mobile-first indexing,high,critical,"mobile first indexing google crawl desktop"
Content,Minimum 300 words,Main content should be at least 300 words for most pages,medium,major,"content length words minimum quality depth"
Content,Heading hierarchy H1-H6,Use proper heading hierarchy without skipping levels,medium,major,"heading h1 h2 h3 hierarchy structure semantic"
Content,Single H1 per page,Each page should have exactly one H1 tag,high,major,"h1 title heading single unique page"
Content,Keywords in headings,Include target keywords in headings naturally,medium,major,"keyword heading h1 h2 optimization relevance"
Content,No duplicate content,Avoid duplicate content across pages,high,critical,"duplicate content penalty canonical unique"
Performance,Enable compression,Enable Gzip or Brotli compression,high,major,"compression gzip brotli performance transfer"
Performance,Minimize redirects,Minimize redirect chains,medium,major,"redirect chain 301 302 performance latency"
Performance,CDN usage,Use a CDN for static assets,medium,major,"cdn content delivery network performance global"
Performance,Browser caching,Implement proper browser caching headers,high,major,"cache headers browser caching performance"
Performance,Minify CSS/JS,Minify and bundle CSS and JavaScript files,medium,major,"minify bundle css javascript optimization"
Security,HTTPS certificate valid,SSL/TLS certificate should be valid and not expired,high,critical,"ssl tls certificate https security valid"
Security,Mixed content resolved,No mixed content warnings (HTTP on HTTPS),high,critical,"mixed content security https http warning"
Security,Security headers,Implement security headers (CSP HSTS X-Frame),medium,major,"security headers csp hsts xframe clickjacking"
Security,No sensitive data in URLs,Avoid exposing sensitive data in URL parameters,medium,major,"url parameter sensitive data privacy security"
Accessibility,Color contrast 4.5:1,Text should have minimum 4.5:1 contrast ratio,medium,major,"accessibility contrast wcag color text"
Accessibility,Semantic HTML,Use semantic HTML5 elements,medium,major,"semantic html5 accessibility structure aria"
Accessibility,Keyboard navigation,Site should be fully keyboard navigable,medium,major,"keyboard navigation accessibility tab focus"
Accessibility,ARIA labels,Use ARIA labels where appropriate,low,minor,"aria label accessibility screen reader"
International,hreflang tags,Use hreflang tags for multi-language sites,high,major,"hreflang international multilingual language country"
International,Correct lang attribute,HTML lang attribute should match page language,medium,major,"lang attribute language html international"
International,Currency/timezone localization,Localize currency timezone and formats,low,minor,"localization currency timezone format international"
